id;task;action;hour;minute;second;millisecond
18;securicast_notification;writing characteristic;21;16;21;653
18;securicast_notification;handling response;21;16;38;25
19;google;user credentials;11;2;51;241
19;google;sign in;11;2;56;639
19;google;totp;11;3;4;591
19;google;verify pin;11;3;10;640
19;securicast_notification;user credentials;11;5;6;709
19;securicast_notification;sign in;11;5;9;663
19;securicast_notification;start web bluetooth;11;5;13;592
19;securicast_notification;connecting;11;5;17;70
19;securicast_notification;getting service;11;5;18;348
19;securicast_notification;getting characteristic;11;5;21;527
19;securicast_notification;writing characteristic;11;5;21;536
19;securicast_notification;handling response;11;5;27;972
19;securicast;user credentials;11;6;56;550
19;securicast;sign in;11;7;1;932
19;securicast;start web bluetooth;11;7;3;968
19;securicast;connecting;11;7;6;397
19;securicast;getting service;11;7;8;63
19;securicast;getting characteristic;11;7;11;849
19;securicast;writing characteristic;11;7;11;861
19;securicast;handling response;11;7;12;757
20;securicast;user credentials;11;29;27;216
20;securicast;sign in;11;29;33;823
20;securicast;start web bluetooth;11;29;47;628
20;securicast;connecting;11;29;53;15
20;securicast;getting service;11;29;53;822
20;securicast;getting characteristic;11;29;56;981
20;securicast;writing characteristic;11;29;56;983
20;securicast;handling response;11;29;58;22
20;google;user credentials;11;31;58;992
20;google;sign in;11;32;4;734
20;google;totp;11;32;18;102
20;google;verify pin;11;32;28;208
20;securicast_notification;user credentials;11;34;33;639
20;securicast_notification;sign in;11;34;39;86
20;securicast_notification;start web bluetooth;11;34;42;574
20;securicast_notification;connecting;11;34;45;396
20;securicast_notification;getting service;11;34;46;209
20;securicast_notification;getting characteristic;11;34;49;367
20;securicast_notification;writing characteristic;11;34;49;372
20;securicast_notification;handling response;11;35;11;271
21;securicast;user credentials;13;27;49;727
21;securicast;sign in;13;27;58;369
21;securicast;start web bluetooth;13;28;21;944
21;securicast;connecting;13;28;25;995
21;securicast;getting service;13;28;26;463
21;securicast;getting characteristic;13;28;29;546
21;securicast;writing characteristic;13;28;29;556
21;securicast;handling response;13;28;30;314
21;securicast_notification;user credentials;13;31;27;445
21;securicast_notification;sign in;13;31;32;801
21;securicast_notification;start web bluetooth;13;31;35;528
21;securicast_notification;connecting;13;31;39;217
21;securicast_notification;getting service;13;31;40;291
21;securicast_notification;getting characteristic;13;31;42;883
21;securicast_notification;writing characteristic;13;31;42;892
21;securicast_notification;handling response;13;32;0;179
21;google;user credentials;13;33;32;888
21;google;sign in;13;33;36;311
21;google;totp;13;33;39;934
21;google;verify pin;13;33;45;945
22;securicast_notification;user credentials;17;32;53;988
22;securicast_notification;sign in;17;33;0;365
22;securicast_notification;start web bluetooth;17;33;5;448
22;securicast_notification;connecting;17;33;10;236
22;securicast_notification;getting service;17;33;11;81
22;securicast_notification;getting characteristic;17;33;14;510
22;securicast_notification;writing characteristic;17;33;14;517
22;securicast_notification;handling response;17;33;32;431
22;google;user credentials;17;39;44;345
22;google;sign in;17;39;51;343
22;google;totp;17;40;32;338
22;google;verify pin;17;40;34;577
22;securicast;user credentials;17;44;50;400
22;securicast;sign in;17;44;54;588
22;securicast;start web bluetooth;17;44;56;845
22;securicast;connecting;17;44;59;807
22;securicast;getting service;17;45;0;943
22;securicast;getting characteristic;17;45;4;167
22;securicast;writing characteristic;17;45;4;175
22;securicast;handling response;17;45;4;936
23;securicast_notification;user credentials;12;35;57;733
23;securicast_notification;sign in;12;36;8;284
23;securicast_notification;start web bluetooth;12;36;12;248
23;securicast_notification;connecting;12;36;20;134
23;securicast_notification;getting service;12;36;21;65
23;securicast_notification;getting characteristic;12;36;24;545
23;securicast_notification;writing characteristic;12;36;24;548
23;securicast_notification;handling response;12;36;29;288
23;securicast;user credentials;12;38;1;675
23;securicast;sign in;12;38;5;594
23;securicast;start web bluetooth;12;38;11;749
23;securicast;connecting;12;38;15;373
23;securicast;getting service;12;38;16;460
23;securicast;getting characteristic;12;38;20;799
23;securicast;writing characteristic;12;38;20;801
23;securicast;handling response;12;38;22;56
23;google;user credentials;12;39;24;193
23;google;sign in;12;39;26;818
23;google;user credentials;12;39;30;940
23;google;sign in;12;39;35;358
23;google;totp;12;39;43;970
23;google;verify pin;12;39;48;922
24;google;user credentials;12;44;15;891
24;google;sign in;12;44;20;149
24;google;start web bluetooth;12;44;35;454
24;google;totp;12;45;1;992
24;google;verify pin;12;45;7;879
24;securicast;user credentials;12;46;30;25
24;securicast;sign in;12;46;34;294
24;securicast;start web bluetooth;12;46;39;219
24;securicast;connecting;12;46;46;580
24;securicast;getting service;12;46;48;850
24;securicast;getting characteristic;12;46;52;706
24;securicast;writing characteristic;12;46;52;712
24;securicast;handling response;12;46;53;684
24;securicast_notification;user credentials;12;48;42;487
24;securicast_notification;sign in;12;48;46;34
24;securicast_notification;start web bluetooth;12;48;51;544
24;securicast_notification;connecting;12;48;55;459
24;securicast_notification;getting service;12;48;55;898
24;securicast_notification;getting characteristic;12;48;59;339
24;securicast_notification;writing characteristic;12;48;59;346
24;securicast_notification;handling response;12;49;20;751
25;google;user credentials;13;5;39;369
25;google;sign in;13;5;45;879
25;google;totp;13;6;3;794
25;google;verify pin;13;6;7;633
25;securicast_notification;user credentials;13;8;16;159
25;securicast_notification;sign in;13;8;22;153
